iso_code,date,people_fully_vaccinated,population,pfv
KOR,07/04/2021,42647,51269183,0
SSD,07/04/2021,,11193729,0
ESP,07/04/2021,2941831,46754783,6
LKA,07/04/2021,,21413250,0
SDN,07/04/2021,,43849269,0
SUR,07/04/2021,,586634,0
SWE,07/04/2021,540929,10099270,5
CHE,07/04/2021,,8654618,0
SYR,07/04/2021,,17500657,0
TWN,07/04/2021,,23816775,0
TJK,07/04/2021,,9537642,0
TZA,07/04/2021,,59734213,0
THA,07/04/2021,54944,69799978,0
TLS,07/04/2021,,1318442,0
TGO,07/04/2021,,8278737,0
TTO,07/04/2021,,1399491,0
TUN,07/04/2021,3988,11818618,0
TUR,07/04/2021,7345498,84339067,8
UGA,07/04/2021,,45741000,0
UKR,07/04/2021,2,43733759,0
ARE,07/04/2021,,9890400,0
GBR,07/04/2021,,67886004,0
USA,07/04/2021,64422618,331002647,19
URY,07/04/2021,141484,3473727,4
UZB,07/04/2021,,33469199,0
VUT,07/04/2021,,307150,0
VAT,07/04/2021,,809,0
VEN,07/04/2021,,28435943,0
VNM,07/04/2021,,97338583,0
OWID_WRL,07/04/2021,153986235,7794798729,1
YEM,07/04/2021,,29825968,0
ZMB,07/04/2021,,18383956,0
ZWE,07/04/2021,,14862927,0
