iso_code;date;people_fully_vaccinated;population;pfv
AFG;28/08/2020;;38928341;
AFG;29/08/2020;;38928341;
AFG;30/08/2020;;38928341;
AFG;31/08/2020;;38928341;
AFG;01/09/2020;;38928341;
AFG;02/09/2020;;38928341;
AFG;03/09/2020;;38928341;
AFG;04/09/2020;;38928341;
AFG;05/09/2020;;38928341;
AFG;06/09/2020;;38928341;
AFG;07/09/2020;;38928341;
AFG;08/09/2020;;38928341;
AFG;09/09/2020;;38928341;
AFG;10/09/2020;;38928341;
AFG;11/09/2020;;38928341;
AFG;12/09/2020;;38928341;
AFG;13/09/2020;;38928341;
AFG;14/09/2020;;38928341;
AFG;15/09/2020;;38928341;
AFG;16/09/2020;;38928341;
AFG;17/09/2020;;38928341;
AFG;18/09/2020;;38928341;
AFG;19/09/2020;;38928341;
AFG;20/09/2020;;38928341;
AFG;21/09/2020;;38928341;
AFG;22/09/2020;;38928341;
AFG;23/09/2020;;38928341;
AFG;24/09/2020;;38928341;
AFG;25/09/2020;;38928341;
AFG;26/09/2020;;38928341;
AFG;27/09/2020;;38928341;
AFG;28/09/2020;;38928341;
AFG;29/09/2020;;38928341;
AFG;30/09/2020;;38928341;
AFG;01/10/2020;;38928341;
AFG;02/10/2020;;38928341;
AFG;03/10/2020;;38928341;
AFG;04/10/2020;;38928341;
AFG;05/10/2020;;38928341;
AFG;06/10/2020;;38928341;
AFG;07/10/2020;;38928341;
AFG;08/10/2020;;38928341;
AFG;09/10/2020;;38928341;
AFG;10/10/2020;;38928341;
AFG;11/10/2020;;38928341;
AFG;12/10/2020;;38928341;
AFG;13/10/2020;;38928341;
AFG;14/10/2020;;38928341;
AFG;15/10/2020;;38928341;
AFG;16/10/2020;;38928341;
AFG;17/10/2020;;38928341;
AFG;18/10/2020;;38928341;
AFG;19/10/2020;;38928341;
AFG;20/10/2020;;38928341;
AFG;21/10/2020;;38928341;
AFG;22/10/2020;;38928341;
AFG;23/10/2020;;38928341;
AFG;24/10/2020;;38928341;
AFG;25/10/2020;;38928341;
AFG;26/10/2020;;38928341;
AFG;27/10/2020;;38928341;
AFG;28/10/2020;;38928341;
AFG;29/10/2020;;38928341;
AFG;30/10/2020;;38928341;
AFG;31/10/2020;;38928341;
AFG;01/11/2020;;38928341;
AFG;02/11/2020;;38928341;
AFG;03/11/2020;;38928341;
AFG;04/11/2020;;38928341;
AFG;05/11/2020;;38928341;
AFG;06/11/2020;;38928341;
AFG;07/11/2020;;38928341;
AFG;08/11/2020;;38928341;
AFG;09/11/2020;;38928341;
AFG;10/11/2020;;38928341;
AFG;11/11/2020;;38928341;
